country,Lat,Long,suicides_no,population,suicides100k pop
Antigua and Barbuda,17.11666667,-61.85,0,7709,0
Antigua and Barbuda,17.11766667,-61.849,0,6344,0
Antigua and Barbuda,17.11866667,-61.848,0,6173,0
Antigua and Barbuda,17.11966667,-61.847,0,7339,0
Antigua and Barbuda,17.12066667,-61.846,0,3778,0
Antigua and Barbuda,17.12166667,-61.845,0,949,0
Antigua and Barbuda,17.12266667,-61.844,0,7667,0
Antigua and Barbuda,17.12366667,-61.843,0,6194,0
Antigua and Barbuda,17.12466667,-61.842,0,5970,0
Antigua and Barbuda,17.12566667,-61.841,0,7304,0
Antigua and Barbuda,17.12666667,-61.84,0,2723,0
Antigua and Barbuda,17.12766667,-61.839,0,424,0
Antigua and Barbuda,17.12866667,-61.838,0,7668,0
Antigua and Barbuda,17.12966667,-61.837,0,6209,0
Antigua and Barbuda,17.13066667,-61.836,0,6101,0
Antigua and Barbuda,17.13166667,-61.835,0,6907,0
Antigua and Barbuda,17.13266667,-61.834,0,3764,0
Antigua and Barbuda,17.13366667,-61.833,0,1014,0
Antigua and Barbuda,17.13466667,-61.832,0,7563,0
Antigua and Barbuda,17.13566667,-61.831,0,6023,0
Antigua and Barbuda,17.13666667,-61.83,0,5947,0
Antigua and Barbuda,17.13766667,-61.829,0,6827,0
Antigua and Barbuda,17.13866667,-61.828,0,2771,0
Antigua and Barbuda,17.13966667,-61.827,0,476,0
Antigua and Barbuda,17.14066667,-61.826,0,7583,0
Antigua and Barbuda,17.14166667,-61.825,0,6101,0
Antigua and Barbuda,17.14266667,-61.824,0,6059,0
Antigua and Barbuda,17.14366667,-61.823,0,6623,0
Antigua and Barbuda,17.14466667,-61.822,0,3738,0
Antigua and Barbuda,17.14566667,-61.821,0,1081,0
Antigua and Barbuda,17.14666667,-61.82,0,7421,0
Antigua and Barbuda,17.14766667,-61.819,0,5893,0
Antigua and Barbuda,17.14866667,-61.818,0,5927,0
Antigua and Barbuda,17.14966667,-61.817,0,6499,0
Antigua and Barbuda,17.15066667,-61.816,0,2798,0
Antigua and Barbuda,17.15166667,-61.815,0,538,0
Antigua and Barbuda,17.15266667,-61.814,0,7413,0
Antigua and Barbuda,17.15366667,-61.813,0,6041,0
Antigua and Barbuda,17.15466667,-61.812,0,6021,0
Antigua and Barbuda,17.15566667,-61.811,0,6527,0
